"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R09962"	"C00341[c] <=> C09873[c] + C00013[c]"	"geranyl-diphosphate diphosphate-lyase [(E)-beta-ocimene-forming]"	"Geranyl diphosphate <=> (E)-beta-Ocimene + Diphosphate"
"R12450"	"C16238[c] + C22158[c] <=> C15972[c] + C00020[c]"	"X"	"Lipoyl-AMP + Lipoyl-carrier protein E2 <=> Enzyme N6-(lipoyl)lysine + AMP"
"R06817"	"C08604[c] + C00083[c] <=> C12643[c] + C00010[c]"	"malonyl-CoA:anthocyanidin-3-O-beta-D-glucoside 6''-O-malonyltransferase"	"Cyanidin 3-O-glucoside + Malonyl-CoA <=> Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside) + CoA"
"R09757"	"C00029[c] + C08588[c] <=> C00015[c] + C19867[c]"	"UDP-glucose:crocetin 8-O-D-glucosyltransferase"	"UDP-glucose + Crocetin <=> UDP + beta-D-Glucosyl crocetin"
"R00342"	"C00149[c] + C00003[c] <=> C00036[c] + C00004[c] + C00080[c]"	"(S)-malate:NAD+ oxidoreductase"	"(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+"
"R08700"	"C00868[c] + C15812[c] + C00002[c] <=> C17322[c] + C15811[c] + C00020[c] + C00013[c]"	"[enzyme]-S-sulfanylcysteine:tRNA-uridine sulfurtransferase (ATP-hydrolysing)"	"tRNA uridine + [Enzyme]-S-sulfanylcysteine + ATP <=> tRNA containing 2-thiouridine + [Enzyme]-cysteine + AMP + Diphosphate"
"R11264"	"C21250[c] <=> C04225[c]"	"X"	"2-Methyl-trans-aconitate <=> (Z)-But-2-ene-1,2,3-tricarboxylate"
"R03422"	"C01240[c] + C00001[c] <=> C03418[c]"	"nucleoside-2',3'-cyclic-phosphate 2'-nucleotidohydrolase"	"2',3'-Cyclic nucleotide + H2O <=> Nucleoside 2'-phosphate"
"R05683"	"C00770[c] + C00003[c] <=> C01062[c] + C00004[c] + C00080[c]"	"L-idonate:NAD oxidoreductase"	"L-Idonate + NAD+ <=> 5-Dehydro-D-gluconate + NADH + H+"
"R04475"	"C04421[c] + C00026[c] <=> C04462[c] + C00025[c]"	"N-succinyl-L-2,6-diaminoheptanedioate:2-oxoglutarate amino-transferase"	"N-Succinyl-LL-2,6-diaminoheptanedioate + 2-Oxoglutarate <=> N-Succinyl-2-L-amino-6-oxoheptanedioate + L-Glutamate"
"R06598"	"C12246[c] <=> C12247[c]"	"X"	"Protorifamycin I <=> Rifamycin W"
"R13189"	"C00002[c] + C19803[c] <=> C00008[c] + C22693[c]"	"ATP:[protein]-L-threonine O-phosphotransferase"	"ATP + [Protein]-L-threonine <=> ADP + [Protein]-O-phospho-L-threonine"
"R09469"	"C01450[c] <=> C19630[c]"	"X"	"Ketone <=> Diketone"
"R08548"	"C01094[c] + C00001[c] <=> C00095[c] + C00009[c]"	"X"	"D-Fructose 1-phosphate + H2O <=> D-Fructose + Orthophosphate"
"R12365"	"C00353[c] <=> C22110[c] + C00013[c]"	"geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, isoelisabethatriene-forming)"	"Geranylgeranyl diphosphate <=> Isoelisabethatriene + Diphosphate"
"R01567"	"C00002[c] + C00214[c] <=> C00008[c] + C00364[c]"	"ATP:thymidine 5'-phosphotransferase"	"ATP + Thymidine <=> ADP + dTMP"
"R10651"	"C20754[c] + C00019[c] <=> C20752[c] + C00021[c]"	"X"	"2-Thio-N6-L-threonylcarbamoyladenine in tRNA + S-Adenosyl-L-methionine <=> 2-Methylthio-N6-L-threonylcarbamoyladenine in tRNA + S-Adenosyl-L-homocysteine"
"R04142"	"C03087[c] + C00004[c] + C00080[c] + C00011[c] <=> C05548[c] + C00003[c] + C00001[c]"	"X"	"5-Acetamidopentanoate + NADH + H+ + CO2 <=> 6-Acetamido-2-oxohexanoate + NAD+ + H2O"
"R08886"	"C03167[c] <=> C17961[c]"	"X"	"Phosphonoacetaldehyde <=> Rhizocticin D"
"R11643"	"C21000[c] + C00030[c] + C00007[c] <=> C21528[c] + C00028[c] + 2 C00001[c]"	"acyl-CoA,reduced acceptor:oxygen oxidoreductase (15,16 cis-dehydrogenating)"	"(9Z,12Z)-Hexadeca-9,12-dienoyl-CoA + Reduced acceptor + Oxygen <=> (9Z,12Z)-Hexadeca-9,12,15-trienoyl-CoA + Acceptor + 2 H2O"
"R04904"	"C05634[c] + C00007[c] + C00001[c] <=> C05635[c] + C00027[c]"	"5-hydroxyindoleacetaldehyde:oxygen oxidoreductase"	"5-Hydroxyindoleacetaldehyde + Oxygen + H2O <=> 5-Hydroxyindoleacetate + Hydrogen peroxide"
"R11566"	"C21471[c] <=> C21472[c] + C00001[c]"	"7alpha-hydroxy-3-oxochol-4-enoyl-CoA hydro-lyase (3-oxochola-4,6-dienoyl-CoA-forming)"	"7alpha-Hydroxy-3-oxochol-4-en-24-oyl-CoA <=> 3-Oxochola-4,6-dien-24-oyl-CoA + H2O"
"R03045"	"C05668[c] <=> C00894[c] + C00001[c]"	"3-hydroxypropionyl-CoA hydro-lyase"	"3-Hydroxypropionyl-CoA <=> Propenoyl-CoA + H2O"
"R09286"	"C05668[c] + C00013[c] + C00020[c] <=> C01013[c] + C00010[c] + C00002[c]"	"3-hydroxypropionate:CoA ligase (AMP-forming)"	"3-Hydroxypropionyl-CoA + Diphosphate + AMP <=> 3-Hydroxypropanoate + CoA + ATP"
"R08244"	"C16618[c] + C00002[c] + C00064[c] + C00001[c] <=> C16619[c] + C00020[c] + C00013[c] + C00025[c]"	"6-thioxanthine 5'-monophosphate:L-glutamine amido-ligase (AMP-forming)"	"6-Thioxanthine 5'-monophosphate + ATP + L-Glutamine + H2O <=> 6-Thioguanosine monophosphate + AMP + Diphosphate + L-Glutamate"
"R01794"	"C00268[c] + C00005[c] + C00080[c] <=> C00272[c] + C00006[c]"	"5,6,7,8-tetrahydrobiopterin:NADP+ oxidoreductase"	"Dihydrobiopterin + NADPH + H+ <=> Tetrahydrobiopterin + NADP+"
"R05963"	"C00001[c] + G00094 <=> C01132[c] + G00093"	"X"	"H2O + G00094 <=> N-Acetyl-D-galactosamine + G00093"
"R06875"	"C11554[c] + C00001[c] <=> C01277[c] + C00009[c]"	"1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate 3-phosphohydrolase"	"1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate + H2O <=> 1-Phosphatidyl-1D-myo-inositol 4-phosphate + Orthophosphate"
"R00833"	"C01213[c] <=> C00091[c]"	"(R)-methylmalonyl-CoA CoA-carbonylmutase"	"(R)-Methylmalonyl-CoA <=> Succinyl-CoA"
"R02772"	"C06018[c] + C00026[c] + C00010[c] <=> C11907[c] + C00025[c] + C00024[c]"	"dTDP-4-acetamido-4,6-dideoxy-D-glucose:2-oxoglutarate aminotransferase"	"dTDP-4-acetamido-4,6-dideoxy-D-glucose + 2-Oxoglutarate + CoA <=> dTDP-4-oxo-6-deoxy-D-glucose + L-Glutamate + Acetyl-CoA"
"R12289"	"C22064[c] + C00111[c] <=> C22065[c] + C00229[c]"	"X"	"Medium-chain 3-oxoacyl-[acyl-carrier protein] + Glycerone phosphate <=> 2-Oxo-3-(phosphooxy)propyl 3-oxoalkanoate + Acyl-carrier protein"
"R06604"	"C12248[c] <=> C02350[c] + C00011[c]"	"5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate carboxy-lyase [(S)-allantoin-forming]"	"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate <=> (S)-Allantoin + CO2"
"R08122"	"C16482[c] <=> C00090[c]"	"X"	"2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate <=> Catechol"
"R04072"	"C03862[c] + C02189[c] <=> C00110[c] + C02863[c]"	"dolichyl-beta-D-mannosyl-phosphate:protein-serine O-D-mannosyltransferase"	"Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]"
"R02024"	"C00705[c] + C00343[c] + C00001[c] <=> C00342[c] + C00112[c]"	"2'-deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase"	"dCDP + Thioredoxin disulfide + H2O <=> Thioredoxin + CDP"
"R05730"	"C11505[c] + C00004[c] + C00080[c] + C00007[c] <=> C11507[c] + C00003[c] + C00001[c]"	"alkene,NADH:oxygen oxidoreductase"	"Propylene + NADH + H+ + Oxygen <=> (S)-1,2-Epoxypropane + NAD+ + H2O"
"R06420"	"C09893[c] + C00005[c] + C00080[c] <=> C11952[c] + C00006[c]"	"(+)-pulegone reductase"	"Pulegone + NADPH + H+ <=> (+)-Isomenthone + NADP+"
"R03726"	"C00019[c] + C04083[c] <=> C00170[c] + C01804[c]"	"S-adenosyl-L-methionine:N6-(delta2-isopentenyl)-adenine 3-(3-amino-3-carboxypropyl)-transferase"	"S-Adenosyl-L-methionine + N6-(Delta2-Isopentenyl)-adenine <=> 5'-Methylthioadenosine + Discadenine"
"R03789"	"C01977[c] + C01449[c] <=> C01978[c] + C00242[c]"	"tRNA-guanosine34:queuine tRNA-D-ribosyltransferase"	"tRNA guanine + Queuine <=> tRNA queuine + Guanine"
"R09354"	"C18711[c] <=> C12389[c]"	"X"	"Mithramycin DK <=> Mithramycin"
"R10903"	"C17355[c] <=> C01739[c]"	"X"	"Nocardicin G <=> Nocardicin E"
"R00131"	"C00086[c] + C00001[c] <=> C00011[c] + 2 C00014[c]"	"urea amidohydrolase"	"Urea + H2O <=> CO2 + 2 Ammonia"
"R03595"	"C00002[c] + C01528[c] + C00001[c] <=> C00020[c] + C05172[c] + C00009[c]"	"ATP:selenide, water phosphotransferase"	"ATP + Hydrogen selenide + H2O <=> AMP + Selenophosphoric acid + Orthophosphate"
"R01913"	"C00314[c] <=> C06257[c] + C06056[c]"	"X"	"Pyridoxine <=> 1-Deoxy-D-xylulose + 4-Hydroxy-L-threonine"
"R01231"	"C00002[c] + C00655[c] + C00064[c] + C00001[c] <=> C00020[c] + C00013[c] + C00144[c] + C00025[c]"	"xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)"	"ATP + Xanthosine 5'-phosphate + L-Glutamine + H2O <=> AMP + Diphosphate + GMP + L-Glutamate"
"R01685"	"C00245[c] + C00001[c] + 2 C00125[c] <=> C00593[c] + C00014[c] + 2 C00126[c] + 2 C00080[c]"	"taurine:ferricytochrome-c oxidoreductase (deaminating)"	"Taurine + H2O + 2 Ferricytochrome c <=> Sulfoacetaldehyde + Ammonia + 2 Ferrocytochrome c + 2 H+"
"R06112"	"G10518 + C00001[c] <=> C00031[c] + C00092[c]"	"X"	"G10518 + H2O <=> D-Glucose + D-Glucose 6-phosphate"
"R10484"	"C00154[c] + C02743[c] <=> C17202[c] + C00010[c]"	"palmitoyl-CoA:[protein]-L-cysteine S-palmitoyltransferase"	"Palmitoyl-CoA + [Protein]-L-cysteine <=> S-Palmitoylprotein + CoA"
"R03427"	"C01243[c] + C00001[c] <=> C04063[c] + C00009[c]"	"D-myo-inositol 1,3,4-trisphosphate 1-phosphohydrolase"	"1D-myo-Inositol 1,3,4-trisphosphate + H2O <=> D-myo-Inositol 3,4-bisphosphate + Orthophosphate"
"R03557"	"C01612[c] + C00006[c] <=> C01450[c] + C00005[c] + C00080[c]"	"secondary alcohol:NADP+ oxidoreductase"	"Secondary alcohol + NADP+ <=> Ketone + NADPH + H+"
"R08324"	"C07185[c] <=> C16648[c]"	"X"	"Valproic acid <=> 2-n-Propyl-4-pentenoic acid"
"R00878"	"C00267[c] <=> C00095[c]"	"alpha-D-glucose aldose-ketose-isomerase"	"alpha-D-Glucose <=> D-Fructose"
"R11625"	"C19706[c] <=> C03564[c] + C00001[c]"	"cis-3-hydroxy-L-proline hydro-lyase (1-pyrroline-2-carboxylate-forming)"	"cis-3-Hydroxy-L-proline <=> 1-Pyrroline-2-carboxylate + H2O"
"R07876"	"C08725[c] + C00323[c] <=> C12640[c] + C00010[c]"	"caffeoyl-CoA:pelargonidin 3,5-di-beta-D-glucoside 6''-O-acyltransferase"	"Pelargonin + Caffeoyl-CoA <=> Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside + CoA"
"R01969"	"C00330[c] + C00009[c] <=> C00242[c] + C00672[c]"	"deoxyguanosine:orthophosphate ribosyltransferase"	"Deoxyguanosine + Orthophosphate <=> Guanine + 2-Deoxy-D-ribose 1-phosphate"
"R10104"	"C02843[c] + 2 C00005[c] + 2 C00080[c] <=> C00339[c] + 2 C00006[c] + C00010[c]"	"long-chain acyl-CoA:NADPH reductase"	"Long-chain acyl-CoA + 2 NADPH + 2 H+ <=> Long-chain alcohol + 2 NADP+ + CoA"
"R04576"	"C04706[c] <=> C04729[c]"	"cis-2-chloro-4-carboxymethylenebut-2-en-1,4-olide cis-trans-isomerase"	"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide <=> trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide"
"R13368"	"C19803[c] + C02743[c] <=> C22955[c] + C00001[c]"	"[protein]-(methyl)lanthionine hydrolase"	"[Protein]-L-threonine + [Protein]-L-cysteine <=> [Protein] with 3-methyllanthionine crosslink + H2O"
"R05177"	"C06408[c] <=> C06399[c]"	"precorrin 8X 11,12-methylmutase"	"Precorrin 8X <=> Hydrogenobyrinate"
"R08072"	"C16427[c] + C00001[c] <=> C04083[c] + C00121[c]"	"X"	"Isopentenyl adenosine + H2O <=> N6-(Delta2-Isopentenyl)-adenine + D-Ribose"
"R11971"	"C21814[c] + 6 C00125[c] + 3 C00001[c] <=> C21815[c] + 6 C00126[c] + 6 C00080[c]"	"[SoxY protein]-S-disulfanyl-L-cysteine:cytochrome-c oxidoreductase"	"[SoxY protein]-S-disulfanyl-L-cysteine + 6 Ferricytochrome c + 3 H2O <=> [SoxY protein]-S-sulfosulfanyl-L-cysteine + 6 Ferrocytochrome c + 6 H+"
"R04331"	"C00096[c] + C04537[c] <=> C00035[c] + C04615[c]"	"GDPmannose:chitobiosyldiphosphodolichol alpha-D-mannosyltransferase"	"GDP-mannose + N,N'-Diacetylchitobiosyldiphosphodolichol <=> GDP + alpha-D-Mannosylchitobiosyldiphosphodolichol"
"R12834"	"C22433[c] + C03024[c] + C00007[c] <=> C22434[c] + C03161[c] + C00001[c]"	"X"	"19-Hydroxycucurbitadienol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 19,25-Dihydroxycucurbitadienol + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R03001"	"C00855[c] + C00022[c] <=> C01180[c] + C00041[c]"	"D-methionine:pyruvate aminotransferase"	"D-Methionine + Pyruvate <=> 4-Methylthio-2-oxobutanoic acid + L-Alanine"
"R07957"	"C13747[c] + C00004[c] + C00080[c] + C00007[c] <=> C16353[c] + C00003[c] + C00067[c] + C00001[c]"	"paraxanthine:oxygen oxidoreductase (N1-demethylating)"	"1,7-Dimethylxanthine + NADH + H+ + Oxygen <=> 7-Methylxanthine + NAD+ + Formaldehyde + H2O"
"R07927"	"C12137[c] + C00223[c] <=> C16368[c] + C00010[c]"	"4-hydroxycinnamoyl-CoA:pelargonidin-3-O-glucoside 6''-O-acyltransferase"	"Pelargonidin 3-O-glucoside + p-Coumaroyl-CoA <=> Pelargonidin 3-(6-p-coumaroyl)glucoside + CoA"
"R03818"	"C02069[c] + C00808[c] + C00007[c] <=> C03448[c] + C03302[c] + C00001[c]"	"(+)-camphor,reduced-putidaredoxin:oxygen oxidoreductase (5-hydroxylating)"	"Reduced putidaredoxin + (+)-Camphor + Oxygen <=> (+)-exo-5-Hydroxycamphor + Oxidized putidaredoxin + H2O"
"R01853"	"C00375[c] + C00001[c] + C00007[c] <=> C00071[c] + C00014[c] + C00027[c]"	"RCH2NH2:oxygen oxidoreductase (deaminating) (copper-containing)"	"RCH2NH2 + H2O + Oxygen <=> Aldehyde + Ammonia + Hydrogen peroxide"
"R02111"	"C00369[c] + C00009[c] <=> C00718[c] + C00103[c]"	"1,4-alpha-D-glucan:orthophosphate alpha-D-glucosyltransferase"	"Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate"
"R01151"	"C00134[c] + C00007[c] + C00001[c] <=> C00555[c] + C00014[c] + C00027[c]"	"putrescine:oxygen oxidoreductase (deaminating)"	"Putrescine + Oxygen + H2O <=> 4-Aminobutyraldehyde + Ammonia + Hydrogen peroxide"
"R02335"	"C00043[c] + C00461[c] <=> C00015[c] + C00461[c]"	"UDP-N-acetyl-D-glucosamine:chitin 4-beta-N-acetylglucosaminyl-transferase"	"UDP-N-acetyl-alpha-D-glucosamine + Chitin <=> UDP + Chitin"
"R10932"	"C20950[c] + C00025[c] <=> C20951[c] + C00026[c]"	"LysW-L-ornithine:2-oxoglutarate 5-aminotransferase"	"LysW-L-glutamate 5-semialdehyde + L-Glutamate <=> LysW-L-ornithine + 2-Oxoglutarate"
"R09657"	"C19785[c] + C00001[c] <=> C19786[c]"	"streptothricin-F hydrolase"	"Streptothricin F + H2O <=> Streptothricin F acid"
"R06006"	"G10609 + G00036 <=> G10619 + G00037"	"X"	"G10609 + G00036 <=> G10619 + G00037"
"R12132"	"C21922[c] <=> C09382[c] + C00001[c]"	"X"	"6alpha-Hydroxygermacra-1(10),4,11(13)-trien-12-oate <=> Costunolide + H2O"
"R01826"	"C00074[c] + C00279[c] + C00001[c] <=> C04691[c] + C00009[c]"	"phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)"	"Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate"
"R12521"	"C22225[c] <=> C22200[c]"	"(S)-8-oxocitronellyl enol cyclase [(+)-cis,cis-nepetalactol-forming]"	"(S)-8-Oxocitronellyl enol <=> (+)-cis,cis-Nepetalactol"
"R07716"	"C16233[c] <=> C14314[c]"	"X"	"2,6,7,4'-Tetrahydroxyisoflavanone <=> 4',6,7-Trihydroxyisoflavone"
"R11082"	"C04895[c] <=> C21094[c]"	"7,8-dihydroneopterin 3'-triphosphate 2'-epimerase"	"7,8-Dihydroneopterin 3'-triphosphate <=> 7,8-Dihydromonapterin 3'-triphosphate"
"R11245"	"C21205[c] <=> C21206[c]"	"X"	"1-epi-Valienol 7-phosphate <=> 1,7-Diphospho-1-epi-valienol"
"R10207"	"C20353[c] + C00007[c] <=> C20351[c] + C00027[c]"	"2'-deamino-2'-hydroxyparomamine:oxygen 6'-oxidoreductase"	"2'-Deamino-2'-hydroxyparomamine + Oxygen <=> 2'-Deamino-2'-hydroxy-6'-dehydroparomamine + Hydrogen peroxide"
"R07746"	"C10522[c] + C03024[c] + C00007[c] <=> C16226[c] + C03161[c] + C00001[c]"	"pseudobaptigenin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2'-hydroxylating)"	"Pseudobaptigenin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 2',7-Dihydroxy-4',5'-methylenedioxyisoflavone + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R04522"	"C04623[c] <=> C04596[c] + C01327[c]"	"1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane chloride-lyase"	"DDT <=> 1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene + Hydrochloric acid"
"R03660"	"C00002[c] + C00079[c] + C01648[c] <=> C00020[c] + C00013[c] + C03511[c]"	"L-phenylalanine:tRNA(Ala) ligase (AMP-forming)"	"ATP + L-Phenylalanine + tRNA(Phe) <=> AMP + Diphosphate + L-Phenylalanyl-tRNA(Phe)"
"R05798"	"C00053[c] + C22549[c] <=> C00054[c] + C11553[c]"	"3'-phosphoadenylyl-sulfate:[heparan sulfate]-glucosamine 3-sulfotransferase"	"3'-Phosphoadenylyl sulfate + [Heparan sulfate]-glucosamine <=> Adenosine 3',5'-bisphosphate + [Heparan sulfate]-glucosamine 3-sulfate"
"R04471"	"C05401[c] + 2 C00162[c] <=> C03692[c] + 2 C00001[c]"	"1,2-diacyl-3-beta-D-galactosyl-sn-glycerol acylhydrolase"	"3-beta-D-Galactosyl-sn-glycerol + 2 Fatty acid <=> 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol + 2 H2O"
"R05520"	"C00019[c] + C06616[c] <=> C00021[c] + C01912[c]"	"S-adenosyl-L-methionine:erythromycin-C 3''-O-methyltransferase"	"S-Adenosyl-L-methionine + Erythromycin C <=> S-Adenosyl-L-homocysteine + Erythromycin"
"R05333"	"C00865[c] + C00641[c] <=> C06254[c] + C00422[c]"	"phospholipid:1,2-diacyl-sn-glycerol O-acyltransferase"	"Phospholipid + 1,2-Diacyl-sn-glycerol <=> Lysophospholipid + Triacylglycerol"
"R11709"	"C20650[c] <=> C21582[c] + C00001[c]"	"X"	"7-(Dihydroxymethyl)bacteriochlorophyllide c <=> Bacteriochlorophyllide e + H2O"
"R01975"	"C01144[c] + C00003[c] <=> C00332[c] + C00004[c] + C00080[c]"	"(S)-3-hydroxybutanoyl-CoA:NAD+ oxidoreductase"	"(S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+"
"R07576"	"C15514[c] <=> C09707[c]"	"X"	"8'-Hydroxyabscisate <=> Phaseic acid"
"R01861"	"C00053[c] + C00292[c] <=> C00054[c] + C06011[c]"	"3'-phosphoadenylyl-sulfate:benzenamine N-sulfotransferase"	"3'-Phosphoadenylyl sulfate + Aniline <=> Adenosine 3',5'-bisphosphate + Benzenamine sulfate"
"R13168"	"C02797[c] + C00006[c] <=> C00619[c] + C00005[c] + C00080[c]"	"3-oxo-5beta-steroid:NADP+ 4,5-oxidoreductase"	"3-Oxo-5beta-steroid + NADP+ <=> 3-Oxo-Delta4-steroid + NADPH + H+"
"R02216"	"C01953[c] + C00003[c] <=> C00410[c] + C00004[c] + C00080[c]"	"pregnenolone:NAD+ 3-oxidoreductase"	"Pregnenolone + NAD+ <=> Progesterone + NADH + H+"
"R04963"	"C05755[c] + C01209[c] <=> C05756[c] + C00011[c] + C00229[c]"	"decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)"	"Decanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxododecanoyl-[acp] + CO2 + Acyl-carrier protein"
"R12296"	"G13095 + G10612 <=> G13096 + G10619"	"X"	"G13095 + G10612 <=> G13096 + G10619"
"R11804"	"C21691[c] + C00005[c] + C00080[c] + C00007[c] <=> C21692[c] + C00006[c] + C00001[c]"	"omega-(methylthio)alkyl-glucosinolate,NADPH:oxygen S-oxidoreductase"	"omega-(Methylthio)alkyl-glucosinolate + NADPH + H+ + Oxygen <=> omega-(Methylsulfinyl)alkyl-glucosinolate + NADP+ + H2O"
"R05146"	"C05223[c] + C06025[c] <=> C06251[c] + C00229[c]"	"dodecanoyl-[acyl-carrier protein]:KDO2-lipid-IVA O-dodecanoyltransferase"	"Dodecanoyl-[acyl-carrier protein] + KDO2-lipid IVA <=> Lauroyl-KDO2-lipid IV(A) + Acyl-carrier protein"
"R06935"	"C14108[c] + C00003[c] + C00001[c] <=> C14109[c] + C00004[c] + C00080[c]"	"X"	"4-Hydroxymethylsalicylaldehyde + NAD+ + H2O <=> 4-Hydroxymethylsalicylate + NADH + H+"
"R00134"	"C00058[c] + C00006[c] <=> C00011[c] + C00005[c] + C00080[c]"	"formate:NADP+ oxidoreductase"	"Formate + NADP+ <=> CO2 + NADPH + H+"
"R02698"	"C00642[c] + C00007[c] + C00004[c] + C00080[c] <=> C01161[c] + C00003[c] + C00001[c]"	"4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)"	"4-Hydroxyphenylacetate + Oxygen + NADH + H+ <=> 3,4-Dihydroxyphenylacetate + NAD+ + H2O"
"R08173"	"C16523[c] + C00030[c] + C00007[c] <=> C16524[c] + C00028[c] + C00001[c]"	"3'-N-debenzoyl-2'-deoxytaxol,[reduced NADPH-hemoprotein reductase]:oxygen oxidoreductase (2'-hydroxylating)"	"3'-N-Debenzoyl-2'-deoxytaxol + Reduced acceptor + Oxygen <=> 3'-N-Debenzoyltaxol + Acceptor + H2O"
"R13235"	"C04217[c] <=> C22845[c] + C00013[c]"	"geranylfarneyl-diphosphate diphosphate-lyase (cyclizing, (2E)-alpha-cericerene-forming)"	"all-trans-Pentaprenyl diphosphate <=> (2E)-alpha-Cericerene + Diphosphate"
"R03268"	"C00190[c] + C15555[c] <=> C00015[c] + C04069[c]"	"UDP-D-xylose:flavonol-3-O-glycoside D-xylosyltransferase"	"UDP-D-xylose + Flavonol 3-O-D-glycoside <=> UDP + Flavonol 3-O-D-xylosylglycoside"
"R09833"	"C19969[c] + C00001[c] <=> C19970[c] + C00013[c]"	"2-hydroxy-dATP diphosphohydrolase"	"2-Hydroxy-dATP + H2O <=> 2-Hydroxy-dAMP + Diphosphate"
"R00655"	"C00073[c] <=> C00855[c]"	"methionine racemase"	"L-Methionine <=> D-Methionine"
"R10101"	"C15987[c] + C00007[c] + C00001[c] <=> C00232[c] + C00218[c] + C00027[c]"	"4-methylaminobutanoate methylamidohydrolase;"	"4-Methylaminobutyrate + Oxygen + H2O <=> Succinate semialdehyde + Methylamine + Hydrogen peroxide"
"R00918"	"C00100[c] + 6 C00683[c] + 6 C00005[c] + 6 C00080[c] <=> C03240[c] + 7 C00010[c] + 6 C00011[c] + C00001[c] + 6 C00006[c]"	"propanoyl-CoA:(2S)-methylmalonyl-CoA malonyltransferase (cyclizing);"	"Propanoyl-CoA + 6 (S)-Methylmalonyl-CoA + 6 NADPH + 6 H+ <=> 6-Deoxyerythronolide B + 7 CoA + 6 CO2 + H2O + 6 NADP+"
"R07151"	"C02982[c] + C00007[c] <=> C02117[c] + C00027[c]"	"L-2-hydroxyphytanate:oxygen 2-oxidoreductase"	"L-2-Hydroxyphytanate + Oxygen <=> 2-Oxophytanate + Hydrogen peroxide"
"R08723"	"C15520[c] + C00003[c] <=> C17332[c] + C00004[c] + C00080[c]"	"cholest-5-ene-3beta,7alpha,25-triol:NAD+ 3-oxidoreductase"	"Cholest-5-ene-3beta,7alpha,25-triol + NAD+ <=> 7alpha,25-Dihydroxy-4-cholesten-3-one + NADH + H+"
"R02596"	"C00590[c] <=> C15805[c]"	"donor:hydrogen-peroxide oxidoreductase"	"Coniferyl alcohol <=> Guaiacyl lignin"
"R07744"	"C01562[c] <=> C07593[c]"	"X"	"Calycosin <=> Rotenone"
"R09037"	"C00040[c] + C18129[c] <=> C00010[c] + C05980[c]"	"X"	"Acyl-CoA + Monolysocardiolipin <=> CoA + Cardiolipin"
"R05691"	"C08825[c] + C00006[c] <=> C04453[c] + C00005[c] + C00080[c]"	"lophenol:NADP+ 3-oxidoreductase"	"Lophenol + NADP+ <=> 4alpha-Methyl-5alpha-cholest-7-en-3-one + NADPH + H+"
"R08743"	"C05337[c] + C00020[c] + C00013[c] <=> C02528[c] + C00010[c] + C00002[c]"	"chenodeoxycholate:CoA ligase (AMP-forming)"	"Chenodeoxycholoyl-CoA + AMP + Diphosphate <=> Chenodeoxycholate + CoA + ATP"
"R01602"	"C00267[c] <=> C00221[c]"	"D-glucose 1-epimerase"	"alpha-D-Glucose <=> beta-D-Glucose"
"R10908"	"C02091[c] + C00048[c] <=> C00037[c] + C00802[c]"	"(S)-ureidoglycine:glyoxylate aminotransferase"	"(S)-Ureidoglycine + Glyoxylate <=> Glycine + Oxalureate"
"R06600"	"C12044[c] <=> C01848[c]"	"X"	"Rifamycin <=> Rifamycin B"
